time_sec,tp_total_mbps,tp_recent_mbps,rtt_us,rtt_variance_us,cwnd_kb,total_cpu,ksoftirq,irq/54-nvidia,bench_gdrtcp
1,909,909,2618,208,455,31.32,0.00,3.12,28.20
2,926,942,2616,217,455,33.85,0.00,3.08,30.77
3,933,947,2746,134,455,32.32,1.01,3.03,28.28
4,937,948,2806,178,455,35.71,1.02,3.06,31.63
5,939,949,2530,129,455,32.90,0.00,3.08,29.82
6,941,949,2783,178,455,33.93,0.00,3.08,30.85
7,942,948,2905,110,493,31.79,0.00,3.08,28.72
8,943,948,2432,219,395,32.57,0.00,3.05,29.52
9,943,946,2657,208,445,33.76,0.00,3.07,30.69
10,944,952,2777,208,446,33.85,0.00,3.08,30.77
11,944,944,2837,167,473,34.00,1.00,3.00,30.00
12,944,951,2734,206,473,33.67,0.00,4.08,29.59
13,944,945,2834,140,473,32.00,0.00,3.00,29.00
14,945,948,2797,172,473,32.32,0.00,3.03,29.29
15,945,947,2845,121,473,36.27,2.02,3.02,31.23
16,945,948,2646,149,473,32.57,0.00,3.05,29.52
17,945,951,2850,131,473,34.87,0.00,3.08,31.79
18,946,952,2602,171,473,31.47,0.00,3.05,28.43
19,946,944,3759,114,559,32.32,1.01,3.03,28.28
20,946,947,2838,134,559,34.61,0.00,4.07,30.53
21,946,955,2851,141,559,33.85,0.00,3.08,30.77
22,946,941,2834,135,559,33.59,0.00,3.05,30.53
23,946,955,2874,122,559,32.41,0.00,3.04,29.37
24,946,941,2880,168,559,33.07,0.00,3.10,29.97
25,946,949,2866,135,559,32.92,0.00,2.99,29.93
26,946,947,2825,82,559,33.50,1.02,3.05,29.44
27,947,953,2797,112,559,32.16,0.00,3.02,29.15
28,947,950,2884,125,559,31.79,0.00,3.08,28.72
29,947,948,2843,133,559,33.33,1.01,3.03,29.29
30,946,939,2728,209,438,34.00,0.00,3.00,31.00
31,947,951,2628,192,454,33.25,0.00,2.08,31.17
32,947,946,2640,193,454,30.05,0.00,3.11,26.94
33,947,952,2563,207,454,29.29,0.00,3.03,26.26
34,947,946,2685,227,454,30.69,0.00,3.07,27.62
35,947,947,2567,195,454,30.29,0.00,3.13,27.15
36,947,951,2533,168,454,32.65,1.02,3.06,28.57
